"mac_address","lock_date","lock_data","created_by","created_on"
"C0:04:62:EB:1E:BE","2020-01-02 14:27:37.102-08","{u'battery': 91, u'bike_battery': 0, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:27:37.102Z', u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:27:37.476605-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:27:50.939-08","{u'battery': 91, u'bike_battery': 0, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:27:50.939Z', u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:27:51.305424-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:28:00.893-08","{u'battery': 91, u'bike_battery': 0, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:28:00.893Z', u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:28:01.269003-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:28:10.921-08","{u'battery': 91, u'bike_battery': 0, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:28:10.921Z', u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:28:11.334465-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:28:21.022-08","{u'battery': 91, u'bike_battery': 0, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:28:21.022Z', u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:28:21.482076-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:28:30.929-08","{u'battery': 91, u'bike_battery': 0, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:28:30.929Z', u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:28:31.314991-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:28:40.953-08","{u'battery': 90, u'bike_battery': 0, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:28:40.953Z', u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:28:41.325496-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:28:50.99-08","{u'battery': 91, u'bike_battery': 0, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:28:50.990Z', u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:28:51.349797-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:29:00.937-08","{u'battery': 91, u'bike_battery': 0, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:29:00.937Z', u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:29:01.607532-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:29:10.914-08","{u'battery': 91, u'bike_battery': 0, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:29:10.914Z', u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:29:11.299919-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:29:20.944-08","{u'battery': 91, u'bike_battery': 0, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:29:20.944Z', u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:29:21.34208-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:29:30.951-08","{u'direction': 15, u'bike_battery': 0, u'battery': 90, u'uncertainty': 865, u'longitude': -71.08868408203125, u'latitude': 42.37655258178711, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:29:30.951Z', u'speed': 1, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:29:31.663228-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:29:41.074-08","{u'direction': 15, u'bike_battery': 0, u'battery': 91, u'uncertainty': 520, u'longitude': -71.09415435791016, u'latitude': 42.373348236083984, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:29:41.074Z', u'speed': 0, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:29:41.430627-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:29:50.979-08","{u'direction': 3, u'bike_battery': 0, u'battery': 90, u'uncertainty': 195, u'longitude': -71.09415435791016, u'latitude': 42.37324905395508, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:29:50.979Z', u'speed': 1, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:29:51.34222-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:30:00.934-08","{u'direction': 6, u'bike_battery': 0, u'battery': 91, u'uncertainty': 140, u'longitude': -71.09410095214844, u'latitude': 42.373355865478516, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:30:00.934Z', u'speed': 2, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:30:01.367393-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:30:10.927-08","{u'direction': 7, u'bike_battery': 0, u'battery': 90, u'uncertainty': 103, u'longitude': -71.09323120117188, u'latitude': 42.373687744140625, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:30:10.927Z', u'speed': 1, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:30:11.279853-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:30:20.931-08","{u'direction': 15, u'bike_battery': 0, u'battery': 91, u'uncertainty': 70, u'longitude': -71.0932388305664, u'latitude': 42.373748779296875, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:30:20.931Z', u'speed': 0, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:30:21.30747-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:30:31.152-08","{u'direction': 7, u'bike_battery': 0, u'battery': 90, u'uncertainty': 68, u'longitude': -71.09325408935547, u'latitude': 42.37379837036133, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:30:31.152Z', u'speed': 0, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:30:31.58285-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:30:40.963-08","{u'direction': 0, u'bike_battery': 0, u'battery': 91, u'uncertainty': 66, u'longitude': -71.09326171875, u'latitude': 42.37379455566406, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:30:40.963Z', u'speed': 0, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:30:41.354225-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:30:50.949-08","{u'direction': 15, u'bike_battery': 0, u'battery': 91, u'uncertainty': 66, u'longitude': -71.09324645996094, u'latitude': 42.37373733520508, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:30:50.949Z', u'speed': 0, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:30:51.31916-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:31:00.96-08","{u'direction': 6, u'bike_battery': 0, u'battery': 90, u'uncertainty': 59, u'longitude': -71.0932846069336, u'latitude': 42.37373733520508, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:31:00.960Z', u'speed': 0, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:31:01.32495-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:31:11.015-08","{u'direction': 0, u'bike_battery': 0, u'battery': 91, u'uncertainty': 50, u'longitude': -71.09325408935547, u'latitude': 42.37376022338867, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:31:11.015Z', u'speed': 0, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:31:11.480223-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:31:20.914-08","{u'direction': 35, u'bike_battery': 0, u'battery': 91, u'uncertainty': 62, u'longitude': -71.09320831298828, u'latitude': 42.373722076416016, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:31:20.914Z', u'speed': 0, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:31:21.315089-08"
"C0:04:62:EB:1E:BE","2020-01-02 14:31:30.93-08","{u'direction': 35, u'bike_battery': 0, u'battery': 91, u'uncertainty': 63, u'longitude': -71.09320068359375, u'latitude': 42.37369155883789, u'reason': u'REASON_UNLOCKED_PING', u'mac_addr': u'C0:04:62:EB:1E:BE', u'date': u'2020-01-02T22:31:30.930Z', u'speed': 0, u'lock_state': u'Unlocked'}","dba@demo.com","2020-01-02 14:31:31.607538-08"
